,pic_obs,rnom_obs,y_obs,,,,
1984Q1,0.00600,0.01114,-0.01034,,,,
1984Q2,0.00454,0.01274,-0.00104,,,,
1984Q3,0.00470,0.01414,0.00071,,,,
1984Q4,0.00236,0.01012,0.00053,,,,
1985Q1,0.00318,0.00847,0.00248,,,,
1985Q2,0.00277,0.00657,0.00329,,,,
1985Q3,0.00113,0.00564,0.01095,,,,
1985Q4,0.00377,0.00579,0.01036,,,,
1986Q1,0.00304,0.00509,0.00980,,,,
1986Q2,0.00057,0.00309,0.00587,,,,
1986Q3,0.00168,0.00149,0.00744,,,,
1986Q4,0.00188,0.00104,0.00418,,,,
1987Q1,0.00035,0.00154,0.00105,,,,
1987Q2,0.00426,0.00189,0.00360,,,,
1987Q3,0.00160,0.00289,0.00443,,,,
1987Q4,0.00374,0.00247,0.01382,,,,
1988Q1,0.00196,0.00204,0.01115,,,,
1988Q2,0.00431,0.00329,0.01652,,,,
1988Q3,0.00337,0.00539,0.01415,,,,
1988Q4,0.00430,0.00726,0.02010,,,,
1989Q1,0.00285,0.00941,0.02157,,,,
1989Q2,0.00300,0.00907,0.02181,,,,
1989Q3,0.00185,0.00756,0.02239,,,,
1989Q4,0.00431,0.00707,0.01731,,,,
1990Q1,0.00493,0.00734,0.01468,,,,
1990Q2,0.00526,0.00732,0.01155,,,,
1990Q3,0.00705,0.00659,0.00423,,,,
1990Q4,0.00370,0.00531,-0.01227,,,,
1991Q1,0.00667,0.00282,-0.02422,,,,
1991Q2,0.00129,0.00164,-0.02448,,,,
1991Q3,0.00309,0.00114,-0.02766,,,,
1991Q4,0.00158,-0.00104,-0.03145,,,,
1992Q1,0.00104,-0.00271,-0.02768,,,,
1992Q2,0.00096,-0.00329,-0.02427,,,,
1992Q3,-0.00001,-0.00484,-0.02159,,,,
1992Q4,0.00126,-0.00486,-0.01909,,,,
1993Q1,0.00097,-0.00516,-0.02466,,,,
1993Q2,0.00067,-0.00514,-0.02547,,,,
1993Q3,-0.00180,-0.00504,-0.02772,,,,
1993Q4,0.00012,-0.00489,-0.02228,,,,
1994Q1,-0.00123,-0.00441,-0.01980,,,,
1994Q2,-0.00085,-0.00246,-0.01326,,,,
1994Q3,-0.00025,-0.00119,-0.01435,,,,
1994Q4,-0.00136,0.00089,-0.01090,,,,
1995Q1,0.00069,0.00209,-0.01466,,,,
1995Q2,0.00041,0.00174,-0.01939,,,,
1995Q3,-0.00109,0.00112,-0.01837,,,,
1995Q4,-0.00073,0.00084,-0.01893,,,,
1996Q1,-0.00098,-0.00004,-0.01897,,,,
1996Q2,-0.00183,0.00019,-0.00909,,,,
1996Q3,-0.00126,0.00039,-0.00800,,,,
1996Q4,-0.00131,0.00007,-0.00488,,,,
1997Q1,-0.00194,0.00029,-0.00657,,,,
1997Q2,-0.00138,0.00026,0.00128,,,,
1997Q3,-0.00339,0.00024,0.00645,,,,
1997Q4,-0.00203,0.00037,0.00663,,,,
1998Q1,-0.00168,0.00026,0.00912,,,,
1998Q2,-0.00210,0.00007,0.01093,,,,
1998Q3,-0.00175,-0.00031,0.01658,,,,
1998Q4,-0.00216,-0.00179,0.02612,,,,
1999Q1,-0.00334,-0.00139,0.02661,,,,
1999Q2,-0.00297,-0.00124,0.02710,,,,
1999Q3,-0.00244,-0.00074,0.03220,,,,
1999Q4,-0.00209,0.00029,0.04246,,,,
2000Q1,-0.00119,0.00154,0.02657,,,,
2000Q2,-0.00142,0.00201,0.03823,,,,
2000Q3,-0.00109,0.00279,0.03134,,,,
2000Q4,-0.00168,0.00279,0.02970,,,,
2001Q1,-0.00045,-0.00034,0.01936,,,,
2001Q2,-0.00158,-0.00334,0.01840,,,,
2001Q3,-0.00091,-0.00461,0.00795,,,,
2001Q4,-0.00112,-0.00786,0.00375,,,,
2002Q1,-0.00223,-0.00831,0.00521,,,,
2002Q2,-0.00261,-0.00834,0.00356,,,,
2002Q3,-0.00246,-0.00854,0.00111,,,,
2002Q4,-0.00319,-0.00931,-0.00609,,,,
2003Q1,-0.00441,-0.00976,-0.01351,,,,
2003Q2,-0.00598,-0.01006,-0.01252,,,,
2003Q3,-0.00374,-0.01034,-0.00395,,,,
2003Q4,-0.00513,-0.01039,-0.00279,,,,
2004Q1,-0.00291,-0.01039,-0.00098,,,,
2004Q2,-0.00141,-0.00996,-0.00172,,,,
2004Q3,-0.00347,-0.00894,-0.00184,,,,
2004Q4,-0.00164,-0.00761,-0.00135,,,,
2005Q1,-0.00151,-0.00626,0.00181,,,,
2005Q2,-0.00304,-0.00539,-0.00092,,,,
2005Q3,-0.00439,-0.00414,-0.00064,,,,
2005Q4,-0.00110,-0.00294,-0.00325,,,,
2006Q1,-0.00147,-0.00146,0.00250,,,,
2006Q2,0.00044,-0.00064,-0.00068,,,,
2006Q3,-0.00092,-0.00013,-0.00804,,,,
2006Q4,-0.00257,-0.00013,-0.00872,,,,
2007Q1,-0.00187,0.00009,-0.01572,,,,
2007Q2,-0.00287,-0.00054,-0.01379,,,,
2007Q3,-0.00257,-0.00166,-0.01389,,,,
2007Q4,-0.00070,-0.00404,-0.01702,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
